season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling,highest_score_num,highest_score_notout,best_bowling_wickets,best_bowling_runs,player_id,_outlier,total_runs,total_wickets,batting_impact,bowling_impact,consistency_score,overall_performance_score,performance_category,career_matches,career_innings,career_runs,career_wickets,career_fifties,career_hundreds,career_catches,seasons_played
2025,14,5,18,6.0,112.5,2,0,0,0,7,0,15,24.06,7.07,20.4,22/3,7,0,22,3,347,0,210,106,0.0101302555935933,2.5090870794906857,4.848016811906076,2.2862067257075607,Average,107,42,210,106,0,0,8,9
2026,12,4,9,3.0,42.85,0,0,0,0,4,1,10,38.1,10.29,22.2,29/3,4,0,29,3,347,0,210,106,0.000964625451584,0.7257702494393076,4.848016811906076,1.7475454251740046,Poor,107,42,210,106,0,0,8,9
2021,1,1,0,0.0,0.0,0,0,0,0,0*,0,0,0.0,0.0,0.0,,0,1,0,0,348,0,0,0,8.337658905498946e-31,0.0,3.2211270225032544,1.0161853109628018,Poor,1,1,0,0,0,0,0,1
2022,4,1,3,3.0,60.0,0,0,0,0,3,0,5,20.4,7.84,15.6,22/2,3,0,22,2,350,0,12,12,0.0004502335839735,0.8895355037507477,2.8946818186145022,1.1802407278494456,Poor,16,4,12,12,0,0,1,3
2023,8,1,6,6.0,85.71,1,0,0,0,6,1,5,45.4,8.73,31.2,37/2,6,0,37,2,350,0,12,12,0.0025726346901207,0.3589545150016459,2.8946818186145022,1.021915391825499,Poor,16,4,12,12,0,0,1,3
2025,4,2,3,1.5,60.0,0,0,0,0,2,0,2,39.0,9.75,24.0,21/1,2,0,21,1,350,0,12,12,0.0002251167927371,0.1496581205243864,2.8946818186145022,0.9581874663870957,Poor,16,4,12,12,0,0,1,3
2024,4,3,3,1.0,42.85,0,0,0,0,2,1,0,0.0,0.0,0.0,,2,0,0,0,351,0,21,0,0.0001071806066842,0.0,1.9664802150370997,0.6204183789703085,Poor,5,4,21,0,0,0,2,2
2026,1,1,18,18.0,128.57,3,0,0,0,18,1,0,0.0,0.0,0.0,,18,0,0,0,351,0,21,0,0.0347319189388444,0.0,1.9664802150370997,0.6342682742893228,Poor,5,4,21,0,0,0,2,2
2008,10,9,320,35.55,161.61,41,8,4,0,94,0,0,0.0,0.0,0.0,,94,0,0,0,352,0,1687,0,1.532858046358373,0.0,4.238698184370274,1.950346874436247,Poor,71,68,1687,0,10,0,0,6
2009,14,13,332,30.18,102.46,29,5,2,0,60,0,0,0.0,0.0,0.0,,60,0,0,0,352,0,1687,0,0.8559645822765249,0.0,4.238698184370274,1.6795894890742653,Poor,71,68,1687,0,10,0,0,6
